,timestamp,tweet,keywords
866,2022-18-05 16:34:02,"Day 135 - #66DaysOfData
Following the Machine Learning with Python IBM Course 😊♥️

#python #machinelearning",Python
871,2022-16-05 17:09:53,"Day 133 - #66DaysOfData
Working on week 2 tasks in Machine Learning with Python IBM Course 😊♥️

#python #machinelearning",Python
872,2022-15-05 16:36:23,"Day 132 - #66DaysOfData
Today I completed week one tasks in Machine Learning with Python IBM Course on Coursera.… https://t.co/D6Ta7NXiUK",Python
875,2022-14-05 17:56:17,"Day 131 - #66DaysOfData
Today I completed the Data Visualization with Python IBM course and obtained the certificat… https://t.co/dOpF7QytuA",Python
876,2022-14-05 17:47:24,I'm really happy to tell you all that today I obtained my @IBM Data Visualization with Python certificate on… https://t.co/NBFLZUea0u,Python
878,2022-13-05 16:54:59,"Day 130 - #66DaysOfData
Today I completed the week 5 Final Assignment in Data Visualization with Python IBM course.… https://t.co/eQW79gLDoD",Python
881,2022-12-05 18:14:18,"Day 129 - #66DaysOfData
Working on week 5 final assignment in Data Visualization with Python IBM course. 😊♥️

#python #datavisualization",Python
882,2022-11-05 16:44:32,"Day 128 - #66DaysOfData
Today I completed week 5 practice assignment in Data Visualization with Python IBM course.… https://t.co/dI12cC4Xhe",Python
886,2022-07-05 18:38:02,"Day 124 - #66DaysOfData
Completed week 4 tasks in Data Visualization with Python IBM course. 😊♥️

#python #datavisualization",Python
888,2022-06-05 16:16:04,"Day 123 - #66DaysOfData
Working on week 4 tasks in Data Visualization with Python IBM course. 😊♥️

#datavisualization #python",Python
889,2022-05-05 16:31:32,"Day 122 - #66DaysOfData
Working on week 4 tasks in Data Visualization with Python IBM course. 😊♥️

#python #datavisualization",Python
890,2022-04-05 16:25:15,"Day 121 - #66DaysOfData
Working on week 4 tasks in Data Visualization with Python IBM course. This is my first expe… https://t.co/enFhdhtWm5",Python
894,2022-03-05 16:10:09,"Day 120 - #66DaysOfData
Working on week 4 tasks in Data Visualization with Python IBM course. 😊♥️

#datavisualization #python",Python
896,2022-02-05 15:44:36,"Day 119 - #66DaysOfData
Completed week 3 tasks in Data Visualization with Python IBM course. I had a new experience… https://t.co/YoEavoSYdk",Python
898,2022-02-05 03:21:29,"RT @DanKornas: 🐍 PyScript 🚀

A framework that allows users to create rich Python applications IN THE BROWSER using a mix of #Python with st…",Python
899,2022-01-05 16:41:29,"Day 118 - #66DaysOfData
Working on week 3 tasks in Data Visualization with Python IBM course 😊♥️

#datavisualization #python",Python
900,2022-30-04 17:47:57,"Day 117 - #66DaysOfData
Working on week 3 tasks in Data Visualization with Python IBM course 😊♥️

#datavisualization #python",Python
901,2022-29-04 15:44:22,"Day 116 - #66DaysOfData
Started week 3 tasks in Data Visualization with Python IBM course 😊♥️

#datavisualization #python",Python
903,2022-28-04 15:43:05,"Day 115 - #66DaysOfData
Completed week 2 tasks in Data Visualization with Python IBM course 😊♥️

#python #DataVisualization",Python
904,2022-27-04 16:04:55,"Day 114 - #66DaysOfData
Working on week 2 tasks in Data Visualization with Python IBM course 😊♥️

#datavisualization #python",Python
906,2022-26-04 14:45:52,"Day 113 - #66DaysOfData
Started and completed week 1 tasks in Data Visualization with Python IBM course 😊♥️

#datavisualization #python",Python
914,2022-25-04 15:57:38,"Day 112 - #66DaysOfData
Completed the tasks and obtained the certificate in Data Analysis with Python IBM course 😊♥️

#dataanalysis #python",Python
918,2022-25-04 13:51:56,"I'm so excited to share that today I obtained my @IBM Data Analysis with Python certificate on @coursera. 👀✨

This… https://t.co/MJRQcRbtfz",Python
920,2022-24-04 16:52:40,"Day 111 - #66DaysOfData
Submitted the peer-graded final assignment answers in Data Analysis with Python IBM course… https://t.co/UrDUoIDIlq",Python
921,2022-23-04 16:50:27,"Day 110 - #66DaysOfData
Started working on week 6 tasks in Data Analysis with Python IBM course 😊♥️

#dataanalysis #python",Python
923,2022-21-04 17:27:42,"Day 108 - #66DaysOfData
Completed week 5 tasks in Data Analysis with Python IBM course 😊♥️

#dataanalysis #python",Python
924,2022-20-04 17:27:05,"Day 107 - #66DaysOfData
Completed week 4 tasks in Data Analysis with Python IBM course 😊♥️

#Datascience #Python #Dataanalysis",Python
925,2022-19-04 16:55:02,"Day 106 - #66DaysOfData
Working on week 4 tasks in Data Analysis with Python IBM course 😊♥️

#dataanalysis #python",Python
926,2022-18-04 17:03:13,"Day 105 - #66DaysOfData
Working on week 4 tasks in Data Analysis with Python IBM course 😊♥️",Python
929,2022-15-04 15:29:47,"Day 102 - #66DaysOfData
Working on week 4 tasks in Data Analysis with Python IBM course 😊♥️

#python #dataanalysis",Python
931,2022-13-04 17:04:25,"Day 100 - #66DaysOfData
It's Day 100 😍 A century 🥲
Today I completed the week 3 tasks in Data Analysis with Python… https://t.co/9jl6KGC1o4",Python
934,2022-12-04 15:32:17,"Day 99 - #66DaysOfData
Today I completed the week 2 tasks in Data Analysis with Python IBM course 😊♥️ 

#python #dataanalysis",Python
939,2022-11-04 15:52:38,"Day 98 - #66DaysOfData
Today I completed the week 1 tasks in Data Analysis with Python IBM course 😊♥️

#python #dataanalysis",Python
942,2022-10-04 05:32:49,I'm so excited to share that today I got my @IBM Databases and SQL for Data Science with Python certificate on… https://t.co/l2JATnCX7S,Python
946,2022-07-04 14:58:56,"Day 94 - #66DaysOfData
Working on week 6 tasks in the Databases and SQL for Data Science with Python IBM course 😊♥️… https://t.co/lwbWsx7ZOG",Python
947,2022-06-04 14:05:48,"Day 93 - #66DaysOfData
Working on week 6 tasks in the Databases and SQL for Data Science with Python IBM course 😊♥️… https://t.co/8WZ9UsrMwH",Python
948,2022-05-04 15:47:29,"Day 92 - #66DaysOfData
Working on week 6 tasks in the Databases and SQL for Data Science with Python IBM course but… https://t.co/cudF0DBN3p",Python
949,2022-04-04 15:11:53,"Day 91 - #66DaysOfData
Working on week 6 tasks in the Databases and SQL for Data Science with Python IBM course 😊♥️… https://t.co/OLA7o4NpHn",Python
950,2022-03-04 16:51:17,"Day 90 - #66DaysOfData
Working on week 6 tasks in the Databases and SQL for Data Science with Python IBM course 😊… https://t.co/VUazlcToH6",Python
951,2022-02-04 15:48:53,"Day 89 - #66DaysOfData
Completed week 5 tasks in the Databases and SQL for Data Science with Python IBM course 🖤🖤

#datascience #python #sql",Python
952,2022-01-04 15:46:57,"Day 88 - #66DaysOfData
Working on week 5 tasks in the Databases and SQL for Data Science with Python IBM course ♥️😊… https://t.co/vEbEaqFv4p",Python
954,2022-31-03 12:29:27,"Day 87 - #66DaysOfData
Completed the week 4 tasks in the Databases and SQL for Data Science with Python IBM course… https://t.co/ynFa1PcmFB",Python
957,2022-30-03 15:55:39,"Day 86 - #66DaysOfData
Working on week 4 tasks in the Databases and SQL for Data Science with Python IBM course ♥️😊… https://t.co/38r8hBPlCG",Python
959,2022-29-03 17:54:24,"Day 85 - #66DaysOfData
Completed week 3 tasks in the Databases and SQL for Data Science with Python IBM course ♥️✨️",Python
962,2022-27-03 15:22:42,"Day 83 - #66DaysOfData
I'm working in week 3 tasks in the Databases and SQL for Data Science with Python IBM course… https://t.co/pY4Nk73WpU",Python
967,2022-25-03 16:36:16,"Day 81 - #66DaysOfData
I'm working in week 3 tasks in the Databases and SQL for Data Science with Python IBM course… https://t.co/SPimir29ca",Python
969,2022-24-03 15:21:43,"Day 80 - #66DaysOfData
Continuing with the Databases and SQL for Data Science with Python IBM course 😊♥️

#datascience #python #sql",Python
970,2022-23-03 15:06:24,"Day 79 - #66DaysOfData
Continuing with the Databases and SQL for Data Science with Python IBM course 😊♥️

#datascience #python #sql",Python
974,2022-22-03 15:58:47,"Day 78 - #66DaysOfData
Doing tasks in the Databases and SQL for Data Science with Python IBM course 😊♥️

#datascience #python #sql",Python
977,2022-21-03 15:21:40,"Day 77 - #66DaysOfData
Going forward with the Databases and SQL for Data Science with Python IBM course ♥️

#datascience #python #sql",Python
979,2022-20-03 14:54:45,"Day 76 - #66DaysOfData
Going forward with the Databases and SQL for Data Science with Python IBM course ♥️

#datascience #python #sql",Python
980,2022-19-03 15:04:10,"Day 75 - #66DaysOfData
Working on Databases and SQL for Data Science with Python IBM course ♥️

#datascience #python #sql",Python
981,2022-18-03 15:32:47,"Day 74 - #66DaysOfData
Today I started working on Databases and SQL for Data Science with Python IBM course 😊♥️

#datascience #python #sql",Python
984,2022-16-03 15:45:30,"Day 72 - #66DaysOfData
Today I completed the Python Project for Data Science IBM course 😊♥️ 

#datascience #python #project",Python
987,2022-16-03 14:49:33,I'm excited to share that today I achieved my @IBM Python Project for Data Science certificate on @coursera. I lear… https://t.co/mY6WlcJkCO,Python
988,2022-15-03 17:49:44,"Day 71 - #66DaysOfData
Um back to work on Python Project for Data Science IBM course 😊♥️

#datascience #python #project #work",Python
990,2022-14-03 06:53:05,"RT @driscollis: Today is Pi Day! In honor of Pi day, I will talk about various Pi-like things with regards to PYthon!

Here's how to get th…",Python
991,2022-13-03 14:02:05,"Day 69 - #66DaysOfData
Um working on Python Project for Data Science IBM course but a quite lazy day. ♥️",Python
1006,2022-11-03 15:56:59,@python_engineer @driscollis Congratulations ♥️,Python
1029,2022-10-03 05:55:00,@PythonWithRune Pleasure ♥️,Python
